Dates,Values
2006-01-31,0.41567439531275413
2006-02-28,0.39524870635657966
2006-03-31,0.4400889300299613
2006-04-30,0.44593349439186003
2006-05-31,0.41567439531275413
2006-06-30,0.43605060080560964
2006-07-31,0.4360506008056097
2006-08-31,0.4206834608718182
2006-09-30,0.45446147880364035
2006-10-31,0.45446147880364035
2006-11-30,0.4711191676566436
2006-12-31,0.44480909972626015
2007-01-31,0.4796998421836791
2007-02-28,0.4798305692450446
2007-03-31,0.5202955220907799
2007-04-30,0.5326404550955952
2007-05-31,0.5419380706915065
2007-06-30,0.5419380706915065
2007-07-31,0.5299754536292535
2007-08-31,0.6297410530687231
2007-09-30,0.6175089711716715
2007-10-31,0.6297410530687231
2007-11-30,0.6268151874081944
2007-12-31,0.6049557244964577
2008-01-31,0.6138198099223268
2008-02-29,0.633364437861799
2008-03-31,0.6699300012709336
2008-04-30,0.711054581588364
2008-05-31,0.7095963330899842
2008-06-30,0.6744414424380716
2008-07-31,0.6243441656427834
2008-08-31,0.5609378290520733
2008-09-30,0.36910734244419074
2008-10-31,0.2655241851078007
2008-11-30,0.2655241851078007
2008-12-31,0.2192996152864763
2009-01-31,0.16085480898345356
2009-02-28,0.15747220843609336
2009-03-31,0.23620502788312014
2009-04-30,0.3212504699658806
2009-05-31,0.37560712431027893
2009-06-30,0.36084268242443424
2009-07-31,0.43556884701302245
2009-08-31,0.4487089797961937
2009-09-30,0.4910494944248941
2009-10-31,0.5103575226676181
2009-11-30,0.5130617028095119
2009-12-31,0.5290179324306105
2010-01-31,0.4952592528939784
2010-02-28,0.5290179324306105
2010-03-31,0.5646207990926154
2010-04-30,0.4957101343784579
2010-05-31,0.48166905174007424
2010-06-30,0.4935888928549468
2010-07-31,0.5156533869673449
2010-08-31,0.6393288135954642
2010-09-30,0.6334542551073487
2010-10-31,0.6093151392598948
2010-11-30,0.6393288135954642
2010-12-31,0.6663663168451653
2011-01-31,0.6956810794510558
2011-02-28,0.7133733214705814
2011-03-31,0.7435079121046855
2011-04-30,0.7222178833293261
2011-05-31,0.7222178833293261
2011-06-30,0.7149353691119269
2011-07-31,0.6463354015687034
2011-08-31,0.6231666144347037
2011-09-30,0.6259751165855855
2011-10-31,0.6410977400569801
2011-11-30,0.6386703328351311
2011-12-31,0.6681039450329328
2012-01-31,0.7086884360540668
2012-02-29,0.7239662939233583
2012-03-31,0.7074818357484454
2012-04-30,0.6608775607306683
2012-05-31,0.6188645467924035
2012-06-30,0.6630781989461707
2012-07-31,0.7009176761325083
2012-08-31,0.7217903184139476
2012-09-30,0.7125675169455286
2012-10-31,0.6954207396585167
2012-11-30,0.7116320663813783
2012-12-31,0.7403741047553902
2013-01-31,0.7519557795215523
2013-02-28,0.7519557795215523
2013-03-31,0.7519557795215523
2013-04-30,0.7640166021855099
2013-05-31,0.7447219313415199
2013-06-30,0.7662439261201122
2013-07-31,0.7662439261201122
2013-08-31,0.7844080637786951
2013-09-30,0.792697493641543
2013-10-31,0.792697493641543
2013-11-30,0.792697493641543
2013-12-31,0.8042257045479552
2014-01-31,0.8169264860006896
2014-02-28,0.8274761379904494
2014-03-31,0.8169264860006896
2014-04-30,0.8412304575513134
2014-05-31,0.8554314559233273
2014-06-30,0.8482261598505783
2014-07-31,0.8274761379904494
2014-08-31,0.8175390702202588
2014-09-30,0.772674316647254
2014-10-31,0.7759469588421044
2014-11-30,0.7245240051953861
2014-12-31,0.6725647362040552
2015-01-31,0.7108989053568988
2015-02-28,0.7035171608415557
2015-03-31,0.7297425218792887
2015-04-30,0.7455259406485059
2015-05-31,0.7386218370014541
2015-06-30,0.7081103029311065
2015-07-31,0.6580581883694326
2015-08-31,0.6320628631018731
2015-09-30,0.6535033117835806
2015-10-31,0.6408332113118469
2015-11-30,0.6024169866731163
2015-12-31,0.5419690245046933
2016-01-31,0.5389536956098798
2016-02-29,0.605949174800898
2016-03-31,0.6334542551073487
2016-04-30,0.6688366492922662
2016-05-31,0.671736508007135
2016-06-30,0.6626550446756578
2016-07-31,0.6712263364672462
2016-08-31,0.6688366492922662
2016-09-30,0.6832858681435355
2016-10-31,0.6680922227125223
2016-11-30,0.7119726264451967
2016-12-31,0.7455259406485059
2017-01-31,0.7423131542957897
2017-02-28,0.7423131542957897
2017-03-31,0.7455259406485059
2017-04-30,0.7455259406485059
2017-05-31,0.7516410903784028
2017-06-30,0.7516410903784028
2017-07-31,0.7600546634301865
2017-08-31,0.780705978394713
2017-09-30,0.7516410903784028
2017-10-31,0.8223237750538492
2017-11-30,0.831662865158105
2017-12-31,0.8765038579869362
2018-01-31,0.853660669827521
2018-02-28,0.831662865158105
2018-03-31,0.8603467076727416
2018-04-30,0.8765038579869362
2018-05-31,0.8765038579869362
2018-06-30,0.8765038579869362
2018-07-31,0.8765038579869362
2018-08-31,0.8765038579869362
2018-09-30,0.8702659082255365
2018-10-31,0.8208708026555149
2018-11-30,0.7692274676112358
2018-12-31,0.785158213476089
2019-01-31,0.8262386301351144
2019-02-28,0.8564653236644929
2019-03-31,0.8760388078152878
2019-04-30,0.8564653236644929
2019-05-31,0.8564653236644929
2019-06-30,0.8564653236644929
2019-07-31,0.8702659082255365
2019-08-31,0.8564653236644929
2019-09-30,0.8536279593479003
2019-10-31,0.8765038579869362
2019-11-30,0.9024215993247332
2019-12-31,0.8603467076727416
2020-01-31,0.8805832492319712
2020-02-29,0.7039185136917783
2020-03-31,0.6755928458194098
2020-04-30,0.7378722160571951
2020-05-31,0.8180002246863687
2020-06-30,0.8180002246863687
2020-07-31,0.8180002246863687
2020-08-31,0.8856632747962582
2020-09-30,0.8973630684493441
2020-10-31,0.9350665257622093
2020-11-30,0.987586164466187
